"PA_status", "SocialSupport", "SocialSupport1", "SocialSupport2", "NegativeAttitude", "NegativeAttitude1", "NegativeAttitude2", "NegAt_BaConbrrier", "PositiveAttitude", "PositiveAttitude1", "PositiveAttitude2", "PosAt_BaConenblr", "SymptomsDistress", "Symp_Dis_Emotionbrrier", "SelfEfficacy", "SE_BaCapbrrier", "PerceivedSymptoms", "PerceivedSymptoms1", "PerceivedSymptoms2", "Dysphoria", "Dysphoria1", "Dysphoria2", "sum_quotes_per_participant"
2.28120223239382, -2.43264869633799, -2.43264869633799, 0, 0, 0, 0, -2.51742426614357, -2.37686180879425, -2.44668609469484, 2.28120223239382, 1.68458060813491, 0, 2.40778313634356, 2.41483555955772, -2.45072658478593, 2.50280446012182, 2.50280446012182, 0, 2.25493181197927, 0, 2.25493181197927, 0
2.26129414035259, 2.32878113269724, 2.32878113269724, 0, 0, 0, 0, 2.51669951771872, 2.32172957562775, 2.4808832063145, -2.44247616664112, -2.27905247163945, 0, 2.13233272995233, -1.83555352252464, -2.50621671299473, -2.40573836407795, 0, -2.40573836407795, -2.33104171315449, 0, -2.33104171315449, 0
2.34611752007975, 2.35266687185223, 2.41640837881194, -2.14978640171278, -2.48684787887137, -2.48684787887137, 0, -2.49687029383938, 2.52780182998582, 2.53166442125325, -2.2783367848354, 2.52293022448344, 0, -2.14978640171278, 2.45072658478593, -2.54619752166848, 0.680572867488143, 0, 0.680572867488143, -2.14978640171278, 0, -2.14978640171278, 0
2.28695480515327, 2.47565309170858, 2.47565309170858, 0, -1.62793267756384, -2.33104171315449, 2.28695480515327, 2.53274649147719, -2.49810703933496, -2.41088871701225, -2.45187811740433, -2.52465281117869, 0, 2.4017930865599, 2.28695480515327, -2.51505818500515, 2.22240524699631, -2.33104171315449, 2.41805488195305, 2.22240524699631, 0, 2.22240524699631, 0
2.36138959928503, 0, 0, 0, -2.36138959928503, -2.36138959928503, 0, -2.49340025114142, 2.51094668379088, 2.51094668379088, 0, 2.52159358381444, -2.49340025114142, -2.49340025114142, 2.36138959928503, -2.45903292987147, 0, -2.36138959928503, 2.36138959928503, -2.36138959928503, 0, -2.36138959928503, 0
2.35220258528037, -2.46953801619051, -2.39245281582701, -2.3675542480188, -2.46237125500324, -2.46237125500324, 0, 2.43866617411067, 2.47804101872741, 2.50321383561413, -2.3675542480188, 2.52889463244022, 0, 2.4442437904715, 0, -2.52600104170837, -2.47275904891174, -2.52299659942081, 2.48997732013936, 2.4442437904715, 0, 2.4442437904715, 0
2.3675542480188, -2.41162479797444, -2.41162479797444, 0, 0, 0, 0, 2.52299659942081, 2.37900510780815, 2.37900510780815, 0, 2.51434322190252, 0, -2.02263740815466, 2.3675542480188, -2.53632852265391, -2.39539973514023, 2.49568743821328, -2.51487261105048, -2.02263740815466, 0, -2.02263740815466, 0
2.31025818105021, -2.40869476261405, -2.40869476261405, 0, -2.46851511786877, -2.29563826994414, -2.42289999211513, -2.48962271964189, 2.53560156520343, 2.53807909730205, -2.27923882003662, 2.54446533424015, 0, -2.27923882003662, 2.47412711324065, -2.54483915880762, -2.50551640675664, -2.41846057033745, -2.46851511786877, 0.906035876035727, 0, 0.906035876035727, 0
2.33104171315449, -2.43828332157733, 2.33680459642233, -2.48089528220559, 2.33104171315449, 0, 2.33104171315449, 2.51514596130055, 2.48490103545337, 2.52326064377643, -2.48051118976554, 2.36182886649638, -2.32804977190915, -2.43914467323194, 2.50228653619703, -2.51304252637994, -2.50120440752228, 0.311697212723147, -2.50142380583748, 0.555850447399298, -2.32804977190915, 2.33395906979574, 0
2.32506550125794, -2.3365733627859, 2.4383545617049, -2.48089528220559, -2.4408327445728, 0, -2.4408327445728, 2.29439373993093, 2.43123570560479, 2.49899539389862, -2.4408327445728, 2.42932926120473, 0, -0.5438504621399, 2.43919153257317, -2.48342033383903, -0.737584629553597, 2.31886572005412, -2.32804977190915, -0.5438504621399, 0, -0.5438504621399, 0
2.37686180879425, -2.48379431766655, -2.48379431766655, 0, 0, 0, 0, -1.89905401151157, 2.46093121095435, 2.5110229152231, -2.45736715942161, 2.46585603925796, 0, -2.3583192979211, 2.37686180879425, -2.47310485327478, 2.39235247939498, 2.39235247939498, 0, -2.3583192979211, 0, -2.3583192979211, 0
2.33404135460608, -2.48687177848359, -2.48687177848359, 0, -2.35121367452904, 2.44412180324528, -2.48542800449907, -2.5412078468258, 2.52264569916987, 2.51412311410119, 2.33404135460608, 2.53958383025991, 0, -0.956087122887082, 2.50314986186592, -2.48826415698583, -2.45204274509884, 2.44412180324528, -2.50529544573423, -0.587540209262564, 0, -0.587540209262564, 0
2.29563826994414, 2.18749952231262, -2.35562773784961, 2.42289999211513, -2.17778483268183, -2.39569821497518, 2.29563826994414, -2.54777307258634, 2.52949871721498, 2.52472479602304, 2.29563826994414, 2.49815163440013, 0, -2.44156917744862, 0, -2.54836996416505, 2.52080454858743, 2.51847228091384, 1.90680486158241, 2.29563826994414, 0, 2.29563826994414, 0
2.22250250340662, -2.53032791954425, -2.47234276490478, -2.51065704655622, 0, 0, 0, -2.51786722353393, 2.52310205331146, 2.5034617647776, 2.43973835795178, 2.54318786638408, 0, 2.38154308632652, 2.43973835795178, -2.53458622514541, -2.3228760611134, 0, -2.3228760611134, 2.38154308632652, 0, 2.38154308632652, 0
