"Construct", "Variance_hyperprior", "Log_Odds_hyperprior", "Hyperprior_quantile_0.50", "Hyperprior_quantile_0.05", "Hyperprior_quantile_0.95", "logOR_prior_elicitation", "variance_prior_elicitation", "Prior_qual_quantile_0.50", "Prior_qual_quantile_0.05", "Prior_qual_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood_qual_quantile_0.50", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_QualplusQuant_mean", "posterior_QualplusQuant_variance", "Posterior_QualplusQuant_quantile_0.50", "Posterior_QualplusQuant_quantile_0.05", "Posterior_QualplusQuant_quantile_0.95"
"SocialSupport", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 2.42829675606567, 0, 2.42829675606567, 2.42829675606567, 2.42829675606567, 0.76, 0.0657973626739291, 0.76, 0.651772969361946, 0.868227030638054, NA, 0, NA, NA, NA
"Dysphoria", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -1.6094379124341, 0, -1.6094379124341, -1.6094379124341, -1.6094379124341, 0.38, 0.164493406684823, 0.38, 0.109432423404866, 0.650567576595134, NA, 0, NA, NA, NA
"NegativeAttitude", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.78585267161705, 0, -0.78585267161705, -0.78585267161705, -0.78585267161705, -0.51, 0.0657973626739291, -0.51, -0.618227030638054, -0.401772969361946, NA, 0, NA, NA, NA
"PositiveAttitude", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.16128330960309, 0, 1.16128330960309, 1.16128330960309, 1.16128330960309, 0.59, 0.0657973626739291, 0.59, 0.481772969361946, 0.698227030638054, NA, 0, NA, NA, NA
"Symptoms_distress", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.367724780125317, 0, -0.367724780125317, -0.367724780125317, -0.367724780125317, -0.46, 0.131594725347858, -0.46, -0.676454061276107, -0.243545938723893, NA, 0, NA, NA, NA
"Symptoms", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -1.66700776425558, 0, -1.66700776425558, -1.66700776425558, -1.66700776425558, 0.475, 0.043864908449286, 0.475, 0.402848646241298, 0.547151353758702, NA, 0, NA, NA, NA
"SelfEfficacy", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.900975836811982, 0, 0.900975836811982, 0.900975836811982, 0.900975836811982, 0.835118614920261, 0.137576303772761, 0.835118614920261, 0.608825732677058, 1.06141149716346, NA, 0, NA, NA, NA
